File_ID,Group_ID,Rating_1,Rating_2,Rating_3,Rating_4
img_0131.png,B,2,1,2,2
img_0132.png,B,0,0,0,0
img_0133.png,B,1,1,1,1
img_0134.png,B,1,1,1,1
img_0135.png,B,0,0,0,0
img_0136.png,B,0,0,0,0
img_0137.png,B,0,0,0,0
img_0138.png,B,1,1,1,1
img_0139.png,B,0,0,0,0
img_0140.png,B,0,0,0,0
img_0141.png,B,1,1,1,1
img_0142.png,B,1,1,1,1
img_0143.png,B,1,1,1,1
img_0144.png,B,0,0,0,0
img_0145.png,B,1,1,1,1
img_0146.png,B,1,1,1,1
img_0147.png,B,0,0,0,0
img_0148.png,B,0,0,0,0
img_0149.png,B,0,0,0,0
img_0150.png,B,1,1,2,2
img_0151.png,B,1,2,2,2
img_0152.png,B,2,0,1,2
img_0153.png,B,0,0,0,0
img_0154.png,B,1,1,1,1
img_0155.png,B,1,1,1,1
img_0156.png,B,0,0,0,0
img_0157.png,B,0,0,0,0
img_0158.png,B,0,0,0,0
img_0159.png,B,2,2,2,2
img_0160.png,B,2,2,2,2
img_0161.png,B,1,1,1,1
img_0162.png,B,0,0,0,0
img_0163.png,B,0,0,0,0
img_0164.png,B,0,0,0,0
img_0165.png,B,2,2,2,2
img_0166.png,B,0,0,0,0
img_0167.png,B,2,2,2,2
img_0168.png,B,1,1,2,2
img_0169.png,B,0,0,0,0
img_0170.png,B,1,1,1,1
img_0171.png,B,2,2,2,2
img_0172.png,B,2,2,2,2
img_0173.png,B,2,2,2,2
img_0174.png,B,1,1,1,1
img_0175.png,B,0,0,0,0
img_0176.png,B,2,2,2,2
img_0177.png,B,2,2,2,2
img_0178.png,B,0,0,0,0
img_0179.png,B,0,0,0,0
img_0180.png,B,1,0,1,1
img_0181.png,B,2,2,2,2
img_0182.png,B,0,0,0,0
img_0183.png,B,2,2,2,2
img_0184.png,B,2,2,2,2
img_0185.png,B,1,1,2,2
img_0186.png,B,2,2,2,2
img_0187.png,B,1,0,1,1
img_0188.png,B,1,1,1,1
img_0189.png,B,0,0,0,0
img_0190.png,B,1,1,1,1
img_0191.png,B,1,1,1,1
img_0192.png,B,2,2,2,2
img_0193.png,B,0,0,0,0
img_0194.png,B,2,1,2,2
img_0195.png,B,2,2,2,2
img_0196.png,B,0,0,0,0
img_0197.png,B,2,2,2,2
img_0198.png,B,1,1,1,1
img_0199.png,B,1,1,1,1
img_0200.png,B,0,0,0,0
img_0201.png,B,0,0,0,0
img_0202.png,B,0,0,0,0
img_0203.png,B,1,1,1,1
img_0204.png,B,0,0,0,0
img_0205.png,B,0,0,0,0
img_0206.png,B,0,0,0,0
img_0207.png,B,1,1,1,1
img_0208.png,B,1,1,1,1
img_0209.png,B,2,0,1,1
img_0210.png,B,1,1,2,1
img_0211.png,B,1,0,1,1
img_0212.png,B,2,2,2,2
img_0213.png,B,0,0,0,0
img_0214.png,B,0,0,0,0
img_0215.png,B,0,0,0,0
img_0216.png,B,0,0,0,0
img_0217.png,B,1,1,1,1
img_0218.png,B,2,2,2,2
img_0219.png,B,0,0,0,0
img_0220.png,B,1,1,1,1
img_0221.png,B,2,2,2,2
img_0222.png,B,0,0,0,0
img_0223.png,B,0,0,0,0
img_0224.png,B,1,1,1,1
img_0225.png,B,0,0,1,0
img_0226.png,B,0,0,0,0
img_0227.png,B,0,0,0,0
img_0228.png,B,0,0,0,0
img_0229.png,B,0,0,0,0
img_0230.png,B,1,1,1,1
img_1310.png,11,1,1,1,1
img_1311.png,11,1,1,1,1
img_1312.png,11,1,1,1,1
img_1313.png,11,1,1,1,1
img_1314.png,11,0,0,0,0
img_1315.png,11,1,1,1,1
img_1316.png,11,0,0,0,0
img_1317.png,11,0,0,0,0
img_1318.png,11,2,2,2,1
img_1319.png,11,2,2,2,2
img_1320.png,11,1,1,1,1
img_1321.png,11,0,0,0,0
img_1322.png,11,0,0,0,0
img_1323.png,11,1,1,1,1
img_1324.png,11,1,1,1,1
img_1325.png,11,0,0,0,0
img_1326.png,11,1,1,1,1
img_1327.png,11,1,1,1,1
img_1328.png,11,0,0,0,0
img_1329.png,11,1,1,1,1
img_1330.png,11,1,1,1,1
img_1331.png,11,0,0,0,0
img_1332.png,11,0,0,0,0
img_1333.png,11,1,1,1,1
img_1334.png,11,1,1,1,1
img_1335.png,11,2,2,2,2
img_1336.png,11,2,2,2,2
img_1337.png,11,0,0,0,0
img_1338.png,11,1,1,1,1
img_1339.png,11,1,1,1,1
img_1340.png,11,1,1,1,1
img_1341.png,11,0,0,0,0
img_1342.png,11,1,1,1,1
img_1343.png,11,1,1,1,1
img_1344.png,11,1,1,1,1
img_1345.png,11,2,2,2,2
img_1346.png,11,1,1,1,1
img_1347.png,11,1,1,1,1
img_1348.png,11,2,2,2,2
img_1349.png,11,1,1,1,1
img_1350.png,11,2,2,2,1
img_1351.png,11,1,1,1,1
img_1352.png,11,0,0,0,0
img_1353.png,11,1,1,1,1
img_1354.png,11,0,0,0,0
img_1355.png,11,1,1,1,1
img_1356.png,11,1,1,1,1
img_1357.png,11,2,2,2,2
img_1358.png,11,0,0,0,0
img_1359.png,11,0,0,0,0
img_1360.png,11,2,2,2,1
img_1361.png,11,0,0,0,0
img_1362.png,11,1,1,1,1
img_1363.png,11,2,2,2,2
img_1364.png,11,2,2,2,2
img_1365.png,11,0,0,0,0
img_1366.png,11,0,0,0,0
img_1367.png,11,0,0,0,0
img_1368.png,11,1,1,1,1
img_1369.png,11,1,1,1,1
img_1370.png,11,2,2,2,2
img_1371.png,11,1,1,1,1
img_1372.png,11,1,1,1,1
img_1373.png,11,0,0,0,0
img_1374.png,11,2,2,2,2
img_1375.png,11,2,2,2,2
img_1376.png,11,1,2,1,1
img_1377.png,11,0,0,0,0
img_1378.png,11,2,2,2,2
img_1379.png,11,2,2,2,2
